Date,Prix en devises,Prix en euros
2013-01-01,112.0,84.3
2013-02-01,116.4,87.1
2013-03-01,109.7,84.6
2013-04-01,103.8,79.5
2013-05-01,103.0,79.4
2013-06-01,102.8,78.0
2013-07-01,107.7,82.3
2013-08-01,110.1,82.8
2013-09-01,111.6,83.6
2013-10-01,109.4,80.2
2013-11-01,107.7,79.9
2013-12-01,110.7,80.7
2014-01-01,107.6,79.0
2014-02-01,108.7,79.6
2014-03-01,107.9,78.0
2014-04-01,108.0,78.1
2014-05-01,109.2,79.6
2014-06-01,111.9,82.3
2014-07-01,108.6,80.2
2014-08-01,103.5,77.7
2014-09-01,98.9,76.7
2014-10-01,88.7,70.0
2014-11-01,80.8,64.8
2014-12-01,64.2,52.2
2015-01-01,50.1,43.1
2015-02-01,58.2,51.3
2015-03-01,57.3,52.8
2015-04-01,59.5,55.4
2015-05-01,64.1,57.5
2015-06-01,61.5,54.8
2015-07-01,56.6,51.4
2015-08-01,46.6,41.9
2015-09-01,47.6,42.4
2015-10-01,48.4,43.1
2015-11-01,44.3,41.2
2015-12-01,38.0,35.0
2016-01-01,30.7,28.3
2016-02-01,32.2,29.0
2016-03-01,38.2,34.4
2016-04-01,41.6,36.7
2016-05-01,46.7,41.3
2016-06-01,48.2,43.0
2016-07-01,45.3,41.0
2016-08-01,46.8,41.8
2016-09-01,47.7,42.5
2016-10-01,51.4,46.6
2016-11-01,47.1,43.7
2016-12-01,54.9,52.1
2017-01-01,55.4,52.2
2017-02-01,56.0,52.6
2017-03-01,52.6,49.2
2017-04-01,53.8,50.1
2017-05-01,51.4,46.5
2017-06-01,47.6,42.4
2017-07-01,49.1,42.6
2017-08-01,51.9,44.0
2017-09-01,55.5,46.6
2017-10-01,57.5,48.9
2017-11-01,62.7,53.4
2017-12-01,64.4,54.4
2018-01-01,69.1,56.6
2018-02-01,65.3,52.9
2018-03-01,66.0,53.5
2018-04-01,72.0,58.7
2018-05-01,76.9,65.2
2018-06-01,74.4,63.7
2018-07-01,74.3,63.5
2018-08-01,72.5,62.8
2018-09-01,78.9,67.7
2018-10-01,81.0,70.6
2018-11-01,64.7,57.0
2018-12-01,56.5,49.8
2019-01-01,59.4,52.0
2019-02-01,64.0,56.4
2019-03-01,66.1,58.5
2019-04-01,71.2,63.4
2019-05-01,71.2,63.6
2019-06-01,64.3,56.9
2019-07-01,63.9,57.0
2019-08-01,59.0,53.1
2019-09-01,62.8,57.1
2019-10-01,59.7,54.0
2019-11-01,63.2,57.2
2019-12-01,67.2,60.4
2020-01-01,63.6,57.3
2020-02-01,55.7,51.1
2020-03-01,31.9,28.8
2020-04-01,18.5,16.9
2020-05-01,29.4,27.5
2020-06-01,40.3,35.8
2020-07-01,43.2,37.7
2020-08-01,44.8,37.8
2020-09-01,40.9,34.7
2020-10-01,40.2,34.1
2020-11-01,42.7,36.1
2020-12-01,50.0,41.1
2021-01-01,54.8,45.0
2021-02-01,62.3,51.5
2021-03-01,65.4,55.0
2021-04-01,64.8,54.1
2021-05-01,68.5,56.4
2021-06-01,73.2,60.8
2021-07-01,75.1,63.5
2021-08-01,70.9,60.2
2021-09-01,74.5,63.3
2021-10-01,83.5,72.0
2021-11-01,81.0,71.0
2021-12-01,74.4,65.8
2022-01-01,86.5,76.5
2022-02-01,96.8,85.4
2022-03-01,117.2,106.4
